,adf_pval,adf_lag,ks_stat,ks_pval
n0_sin,2.296362405784791e-11,0.699999988079071,0.044007738765221634,0.9748915854974812
n4_sin,3.7045887438580394e-05,0.5,0.04674189606122531,0.972667562636711
n3_sin,1.4186387033987558e-06,0.699999988079071,0.05156405380891497,0.9310022006646216
avg_diff,0.0034365905448794365,0.699999988079071,0.05753218262684545,0.8420878900783565
n0,3.57844214704528e-07,1.2000000476837158,0.05260047281323877,0.807422998897708
n5_sin,0.0007370075909420848,1.5,0.06743517031111694,0.702806929438586
n1_sin,2.321632869827108e-16,0.0,0.07048905936392413,0.6804978287392794
n2_sin,0.08072173595428467,1.100000023841858,0.0716357134270946,0.6355813642741062
n4,0.0013438176829367876,1.399999976158142,0.08983151019753977,0.5008209838740493
nb,6.227099220268428e-05,0.30000001192092896,0.08666538263995892,0.46970290614377985
n3,3.9444145727429714e-07,0.800000011920929,0.09168478874573356,0.46023560876382424
n1,0.00874098390340805,1.899999976158142,0.08961313459149738,0.4580901722434733
n5,6.376599803736838e-10,0.4000000059604645,0.09195452542008618,0.4246395774460328
n6_sin,0.04900910705327988,2.9000000953674316,0.09783022252820306,0.3767507085871363
nb_sin,0.0001541498932056129,0.6000000238418579,0.10490202238759756,0.3662712957390277
n6,0.00605228403583169,1.5,0.09791586984158207,0.3327409928421982
jackpot_sin,1.2260421085492912e-13,0.699999988079071,0.18151702746906498,0.16539812834375076
n2,0.004922597203403711,3.5999999046325684,0.12392861175767773,0.15049049915697818
jackpot,0.027251457795500755,1.7000000476837158,0.1818181818181818,0.06468729555907844
